,count,mean,std,min,25%,50%,75%,max,mean_absolute_shap
school_size,2762.0,-0.03348472378493684,0.38925144309123816,-0.9470014229203219,-0.2946729485826846,-0.12201160867529805,0.4152229589753789,0.7550167012474247,0.3340108235357038
school_type,2762.0,-0.04726821148541195,0.27787991925783617,-0.8946809474654048,-0.023091307279511968,0.08017639080177968,0.13103163266264845,0.2561396725495078,0.20647252069968616
crimes_school_area,2762.0,0.012747358363900776,0.23639808410850513,-0.6529742397362772,-0.1575522341420175,0.018543610860786167,0.17032648265121242,0.9039540401962917,0.18945880732359
open_house,2762.0,0.005166689203146849,0.11325804791257238,-0.3599986058904275,-0.08178267610551271,0.02855320525209729,0.08860093867278626,0.3086043351736722,0.09452609930590328
percentacadnotimpt,2762.0,0.015225760615445316,0.11699897899707828,-0.6343780254882345,-0.0351582928361769,0.04639992329658464,0.09509483040769878,0.3600717444239006,0.09333270434180549
crimes_students_residence,2762.0,0.011908844347103183,0.10683578821995313,-0.2006740005704416,-0.07375170964304925,-0.03664732161805711,0.10227825501601889,0.40803717066456946,0.09276098971258043
parent_teacher_conf,2762.0,0.0042019131738377504,0.10234872707532428,-0.2653711753544471,-0.07791976699420188,0.009097705443129912,0.08556093392432502,0.32726857992090685,0.0867670855092203
percentlowgrades,2762.0,0.0015400403419467154,0.10612842225758087,-0.5124740279117244,-0.048982331472260165,0.004219575696739817,0.06999940395035116,0.3450887231089629,0.07756292848474405
juvhelp_drug,2762.0,-0.014672986334991268,0.08483579580820173,-0.2368440135239345,-0.0824296668597706,-0.02762283103232578,0.06305850521028565,0.20990343897660962,0.07594688483826716
random_sweep,2762.0,-0.008011243611664538,0.06591470657266063,-0.203427214098852,-0.05897172282507633,-0.003920339992594144,0.04429042196161222,0.19342598215133222,0.05541239639432308
