"total_incidentslog1p","percentlowgradeslog1p","percentacadnotimptlog1p","school_size","urban","crime_live_recode","crime_area_recode","school_type","visitor_badge","control_building","control_ground","require_check","random_check","lock_inside","close_lunch","random_sweep","drug_testing","wear_uniform","dress_code","school_lockers","book_bags","panic_button","emergency_notif","anonymous_report","student_id","staff_id","security_camera","radio","prohibit_phone","open_house","parent_teacher_conf","disciplinary_process","parent_training_assist","parenthelp_drug","socialshelp_drug","juvhelp_drug","lawhelp_drug","mhhelp_drug","civichelp_drug","privatehelp_drug","relighelp_drug","prevention_curriculum","sel","behav_mod","mentoring","peer_mediation","student_court","restorative_circles","promote_community"
2.39789527279837,2.77258872223978,3.43398720448515,3,1,1,1,"Middle_Combined",1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,4,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
2.83321334405622,1.79175946922805,4.39444915467244,2,0,1,1,"Middle_Combined",1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,2,4,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0
2.56494935746154,1.79175946922805,1.79175946922805,3,1,1,1,"Middle_Combined",1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,4,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
3.25809653802148,2.39789527279837,2.77258872223978,4,1,1,1,"High",1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,4,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1.09861228866811,1.38629436111989,1.09861228866811,3,1,1,1,"Middle_Combined",1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,3,3,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
3.71357206670431,2.39789527279837,2.77258872223978,3,1,1,1,"High",1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,4,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2.63905732961526,4.11087386417331,4.39444915467244,4,1,1,1,"Middle_Combined",1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,3,3,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
2.30258509299405,4.11087386417331,3.93182563272433,2,1,2,2,"Middle_Combined",1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1.79175946922805,1.38629436111989,2.39789527279837,3,0,1,1,"Middle_Combined",1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1
0,1.79175946922805,3.04452243772342,2,0,1,1,"Elementary",1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,4,4,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
0,1.09861228866811,1.79175946922805,3,0,1,1,"Elementary",1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,4,3,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1
2.19722457733622,2.39789527279837,4.11087386417331,4,1,2,2,"Middle_Combined",1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,4,2,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1
